Text,Sentiment,Positive
El mi¿rcoles voy a pagar gracias,positivo,1
Resien me estoy recuperando del covid,positivo,1
Gracias por el comunicado el lunes ire a pagar la cuota. Direccion porque ya no estan por Atocongo. Vivo en Villa el Salvador,positivo,1
"Por favor re quiero una reprogramacion de mis cuotas, aun seguimos en cuarentena y ni trabajo",positivo,1
Ne esito un numero para llamar ,positivo,1
Por favor revisen bien su base de datos! Gracias,positivo,1
Gracias lo haré para aclarar situaciones.,positivo,1
Si%20no%20hay%20trabajo%20como%20le%20boya%20pagar%20en%20esta%20pandémica,positivo,1
Que termine la cuarentena ire hacer un escandolo,positivo,1
Ya epagado sres,positivo,1
"No tengo ninguna cuota pendiente, todo cancele, tengo la boleta del mes de mayo, cancelado el dia 26 de mayo.",positivo,1
Xfavor mandame nro de cta de agente bcp gracias  ,positivo,1
Si me sacan.  de infocor pago,positivo,1
Yo no pago xq me estan cobrando el mes de junio cuando yo ya page ,positivo,1
Ya me tienes won con estos mensajes espero tu notificacion de embrago para enviarte a la mierda rctm,positivo,1
Hace dos meses xfavor,positivo,1
No puedo no debo,positivo,1
Buenas tardes yo orita no le puede cancelar la cyota no estoy trabajando pero el otro mes empieso apagar mi cuota por favor yo si boy apagar,positivo,1
Te puedo depositar a ti 200 soles y que quede así no más,positivo,1
K yo no tengo ninguna deuda con su banco,positivo,1
Que equipos dados de baja tengo?,positivo,1
puedes responder cual es tu urgencia,positivo,1
Aque CTA xfavor deseo pagar con tarjeta visa,positivo,1
949593442 sra lourdes biviana,positivo,1
Por que mandam ese mensaje,positivo,1
Soy músico con que plata piensan que pague,positivo,1
gido este mensaje,positivo,1
Dejen de molestar estoy aldia con mis pagos mis pagos son los lunes,positivo,1
"El numero 968613030 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No%20gracias,positivo,1
"Hola Ya Page Mes Set,",positivo,1
Cómo hago estoy gastado,positivo,1
averiguense antes de mandar un mensaje saben q esto es un ostigamienti por favor para la proxima averiguen,positivo,1
"Ya pagu¿ hace 8 dias, dejen de enviarme mensajes",positivo,1
Hola Buenas Tardes.,positivo,1
"Que equipos, si son robados",positivo,1
El tecnico que hizo la instalacion se llevo Todo los equipos,positivo,1
"El numero 943295830 realizo una llamada, busca comunicarse contigo.",positivo,1
Cuanto debo,positivo,1
"El numero 961134770 realizo una llamada, busca comunicarse contigo.",positivo,1
No me llamen porque no voy a pagar nada,positivo,1
8427 sobre este tema o deuda,positivo,1
Hola. Ya pague hace 03 dias. Gracias.,positivo,1
Sobre qees,positivo,1
Que equipos yo no he devuelto nada?,positivo,1
Ya la otra semana pago,positivo,1
Ya pague por la app del BCP,positivo,1
Ya cancele ya,positivo,1
"El numero 968263929 realizo una llamada, busca comunicarse contigo.",positivo,1
"Quiero mi reprogramacion de mi pago x favor para el siguiente mes.Me encuentro trabajando fuera de arequipa,donde no tengo acceso al banco ni cajero,esta",positivo,1
No tengo deuda con ustedes! Deja de estafar a la gente. No soy idiota!,positivo,1
Para que?,positivo,1
Nome mandes huevadas xq no tengo deuda,positivo,1
Por el momento no estoy en condiciones. Espere mejore un poco. No tengo capital de reinversion. Gracias.,positivo,1
Yo tengo 8 comprobantes con 428 soles ,positivo,1
Atraso de que,positivo,1
Y ud.me devuelve el pago del mes de enero .por qué no tenía cable.,positivo,1
He pagado temprano la letra xf,positivo,1
"El numero 917774829 realizo una llamada, busca comunicarse contigo.",positivo,1
Buenas tardes mil disculpas denme chance hasta el sabado por favor.,positivo,1
Que equipos ???,positivo,1
Que... YO no debo a nadie y si tengo deuda estoy al dia... Se confundieron...,positivo,1
Estoy enfermo con covid reprogramame por favor,positivo,1
DITO PERSONAL. DESCONOZCO CON EXACTITUD SI SE PROCEDIO A UNA REPROG,positivo,1
Si pague,positivo,1
Por q llega este mensaje señores yo no tengo nada en ese local o tienda,positivo,1
"Que deuda me estan imputado, yo que sepa no e solicitado préstamo, pueden decirme cual es el nombre de la persona",positivo,1
Ya cancele mi pago ala 15.horas,positivo,1
"El numero 945752423 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Cuantas cuotas faltan??,positivo,1
Les agradesco su comprension,positivo,1
Buenas tardes quisiera saber xq 130 soles si mi plan de renovacion es de 99 si no me equivoco,positivo,1
"Cuanto seria lo minimo y pagando el minimo ,puedo acceder a un prestamo personal?",positivo,1
De que se trata por favor,positivo,1
Estoy al día en mis cuotas no se porque dicen que tengo una cuota v,positivo,1
"Mi préstamo fue congelado, después yo no tengo informacion como fue esto",positivo,1
Ya%20cancele,positivo,1
Qyien es,positivo,1
re me agende compromiso de pago,positivo,1
985994631,positivo,1
Ya pague mierda no jodan,positivo,1
Porfavor dejen de enviar estos tipos de mensajes,positivo,1
Ud no está informado??? X favor más atento a tu trabajo,positivo,1
Yaaaaa,positivo,1
Quien es Ud,positivo,1
"El numero 920200117 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Deberian actualizar porq solo tengo pendiente 1 recibo,positivo,1
Ya vine al banco,positivo,1
ya me tienen harta yo no debo a avon déjenme de joder,positivo,1
Por favor NO ACOCEN Es ilegal el hacer tantas llamadas Ahora todos estamos pasando una situacion muy critica y complicada economica y emocional Por,positivo,1
Dek se trata,positivo,1
"Amplie el plazo, no hay dinero por ahora",positivo,1
Cual%20credito%20no%20esten%20molestando,positivo,1
Ya%20pague%20verifique%20antes%20de%20invomodar,positivo,1
Yo tengo ke pagar 39 9,positivo,1
Que beneficio?,positivo,1
Achuaman@kobsa.com.pe,positivo,1
Buenas tardes. Disculpe a mi el Banco Pichincha me compro la deuda el total. No se por qué me han descontado y me siguen cobrando. Ojala pase todo esta p,positivo,1
Por que me siguen emviando esos mns de cobro ,positivo,1
Cual recibo de. LUZ CARAJO,positivo,1
er que tome cartas en el asunto,positivo,1
