Text,Sentiment
Que equipos si yo no tengo equipos,negativo
"Por favor, dejen de incomodar con estos mensajes. Yo no soy la persona ala cual buscan por moroso. ",negativo
No es eTe el n. De la sra vargas,negativo
Kk joder hijo puta,negativo
No judas mierda,negativo
Dejen de joder carajo,negativo
Mi nro es910570751,positivo
43674913,positivo
"No tengo esa tarjeta, los voy a denunciar por querer cobrar algo que no tengo",negativo
A que banco pertenece?,positivo
Ieee mierda k pues no entiendes numero equivocado,negativo
Yo no soy katia dejen d mandar mensajes,negativo
Disculpe yo no tengo deuda con esta financiera,positivo
Viste como golpean a los ladrones en la sierra así te va caer por e,negativo
"intento de robo. Ante la fiscalia, será presentado este mensaje y t",negativo
Se ha equivocado de numero no conozco a ninguna persona con ese nombre dejar de mandar mensajes o voy a reportar el numero por favor,negativo
No porque MIERDA envían mensajes . Si no tengi ningun prestamo con ,negativo
Algo más ctm,negativo
No tengo plataaaaa,positivo
Yo no tengo deuda en tienda f,positivo
"os que migré a otro operador. Por favor no molesten, revisen su bas",positivo
ok gracias,positivo
Te voy  a liquidarlo a ti ctmr,negativo
Me la pelas mierda quien es ese tal José perros,negativo
Yo no soy Luis no entiendo pq me envían ese mensaje,negativo
Hoy no jodan ok,negativo
"Hijos del diablo, rateros  ",negativo
ue los debe no soy yo mi teléfono está siendo clonado o simplemente,negativo
Deja de joder la concha de tu hermana,negativo
Imbécil n tengo,negativo
Y no soy Diana,negativo
No jodan yo no soy silvia,negativo
Solo les digo que ya eleve mi queja a indecopi por estos constantes mensajes ya que no soy la persona que buscan ustedes. ,negativo
Esta muy equivocado porque manda esta informacion,negativo
Soy sordo mensaje solo soy 94790275 0,negativo
Desculpa yo no travajo con esa empresa se a conjundido si ,negativo
Llama,positivo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
"No tengo ni guna deuda, quien mierda eres😡😡😡😡",negativo
